pais,continente,poblacion,casos_totales,casos_hoy,muertes_totales,muertes_hoy,recuperados,activos,criticos,casos_por_millon,muertes_por_millon,pruebas_totales,pruebas_por_millon,actualizado_unix,iso3,fecha_actualizacion,tasa_mortalidad_pct,nivel_riesgo,anio_actualizacion,mes_actualizacion
Saint Kitts and Nevis,North America,53871,6607,0,48,0,6559,0,0,122645,891,126958,2356704,1783294046777,KNA,2026-07-05 23:27:26.777,0.73,Bajo,2026,7
Palau,Australia-Oceania,18233,6290,0,10,0,6276,4,0,344979,548,71434,3917841,1783294046778,PLW,2026-07-05 23:27:26.778,0.16,Bajo,2026,7
St. Barth,North America,9945,5507,0,6,0,0,5501,0,553746,603,78646,7908095,1783294046779,BLM,2026-07-05 23:27:26.779,0.11,Bajo,2026,7
Nauru,Australia-Oceania,10903,5393,0,1,0,5347,45,0,494635,92,20509,1881042,1783294046780,NRU,2026-07-05 23:27:26.780,0.02,Bajo,2026,7
Kiribati,Australia-Oceania,123419,5085,0,24,0,2703,2358,3,41201,194,0,0,1783294046781,KIR,2026-07-05 23:27:26.781,0.47,Bajo,2026,7
Anguilla,North America,15230,3904,0,12,0,0,3892,0,256336,788,51382,3373736,1783294046782,AIA,2026-07-05 23:27:26.782,0.31,Bajo,2026,7
Wallis and Futuna,Australia-Oceania,10982,3550,0,8,0,438,3104,0,323256,728,20508,1867419,1783294046783,WLF,2026-07-05 23:27:26.783,0.23,Bajo,2026,7
Saint Pierre Miquelon,North America,5759,3452,0,2,0,2449,1001,0,599410,347,25400,4410488,1783294046783,SPM,2026-07-05 23:27:26.783,0.06,Bajo,2026,7
Tuvalu,Australia-Oceania,12066,2943,0,1,0,0,2942,0,243909,83,0,0,1783294046784,TUV,2026-07-05 23:27:26.784,0.03,Bajo,2026,7
Saint Helena,Africa,6115,2166,0,0,0,2,2164,0,354211,0,0,0,1783294046785,SHN,2026-07-05 23:27:26.785,0.0,Bajo,2026,7
Falkland Islands (Malvinas),South America,3539,1930,0,0,0,1930,0,0,545352,0,8632,2439107,1783294046786,FLK,2026-07-05 23:27:26.786,0.0,Bajo,2026,7
Montserrat,North America,4965,1403,0,8,0,1376,19,0,282578,1611,17762,3577442,1783294046787,MSR,2026-07-05 23:27:26.787,0.57,Bajo,2026,7
Niue,Australia-Oceania,1622,1059,0,0,0,1056,3,0,652898,0,0,0,1783294046788,NIU,2026-07-05 23:27:26.788,0.0,Bajo,2026,7
Diamond Princess,,0,712,0,13,0,699,0,0,0,0,0,0,1783294046789,,2026-07-05 23:27:26.789,1.83,Medio,2026,7
Tokelau,Australia-Oceania,1378,80,0,0,0,0,80,0,58055,0,0,0,1783294046790,TKL,2026-07-05 23:27:26.790,0.0,Bajo,2026,7
Holy See (Vatican City State),Europe,799,29,0,0,0,29,0,0,36295,0,0,0,1783294046791,VAT,2026-07-05 23:27:26.791,0.0,Bajo,2026,7
Western Sahara,Africa,626161,10,0,1,0,9,0,0,16,2,0,0,1783294046792,ESH,2026-07-05 23:27:26.792,10.0,Alto,2026,7
MS Zaandam,,0,9,0,2,0,7,0,0,0,0,0,0,1783294046793,,2026-07-05 23:27:26.793,22.22,Alto,2026,7
